A new study created in memory with name: no-name-0bab406e-0b5a-4ee2-b772-3ec9dddd2569
Im using: cuda
MyCustomModel.__init__ - uses: cuda
HelsinkiTranslator.__init__ - uses: cuda
Translator.__init__ - uses: cuda
FacebookLLM.__init__ - uses: cuda
Transformer.__init__ - uses: cuda
Transformer1.__init__ - uses: cuda
Transformer2.__init__ - uses: cuda
split_index = 48868

 original data size: 9356, clean: 9299

 original data size: 2347, clean: 2331


 epoch = 9294, total = 46470, warmup = 4647 


CombinedTrainer.__init__ - uses: cuda
{'loss': 9.6422, 'grad_norm': 30.69731330871582, 'learning_rate': 1.235628938988403e-05, 'epoch': 0.11}
{'loss': 9.1194, 'grad_norm': 51.72372055053711, 'learning_rate': 2.4824795333258428e-05, 'epoch': 0.22}
{'loss': 9.0411, 'grad_norm': 16.99323081970215, 'learning_rate': 3.729330127663283e-05, 'epoch': 0.32}
{'loss': 8.9212, 'grad_norm': 7.503341197967529, 'learning_rate': 4.976180722000723e-05, 'epoch': 0.43}
{'loss': 8.8258, 'grad_norm': 14.63638687133789, 'learning_rate': 5.746457311391408e-05, 'epoch': 0.54}
{'loss': 8.8638, 'grad_norm': 22.073421478271484, 'learning_rate': 5.607918356465026e-05, 'epoch': 0.65}
{'loss': 8.7912, 'grad_norm': 13.251922607421875, 'learning_rate': 5.469379401538644e-05, 'epoch': 0.75}
{'loss': 8.7, 'grad_norm': 12.944886207580566, 'learning_rate': 5.3309789855671876e-05, 'epoch': 0.86}
{'loss': 8.7743, 'grad_norm': 20.58636474609375, 'learning_rate': 5.192440030640806e-05, 'epoch': 0.97}
{'eval_loss': 8.770370483398438, 'eval_runtime': 2407.7995, 'eval_samples_per_second': 0.966, 'eval_steps_per_second': 0.966, 'epoch': 1.0}
{'loss': 8.8727, 'grad_norm': 14.54599666595459, 'learning_rate': 5.053901075714424e-05, 'epoch': 1.08}
{'loss': 8.7497, 'grad_norm': 18.80384635925293, 'learning_rate': 4.915362120788041e-05, 'epoch': 1.18}
{'loss': 8.8235, 'grad_norm': 14.963526725769043, 'learning_rate': 4.777100243771512e-05, 'epoch': 1.29}
{'loss': 8.6131, 'grad_norm': 20.526145935058594, 'learning_rate': 4.63856128884513e-05, 'epoch': 1.4}
{'loss': 8.5908, 'grad_norm': 13.22545337677002, 'learning_rate': 4.5001608728736734e-05, 'epoch': 1.51}
{'loss': 8.6502, 'grad_norm': 16.638580322265625, 'learning_rate': 4.361760456902218e-05, 'epoch': 1.61}
{'loss': 8.667, 'grad_norm': 19.867612838745117, 'learning_rate': 4.223221501975836e-05, 'epoch': 1.72}
{'loss': 8.8131, 'grad_norm': 7.269323348999023, 'learning_rate': 4.0848210860043794e-05, 'epoch': 1.83}
{'loss': 8.7797, 'grad_norm': 24.822589874267578, 'learning_rate': 3.9462821310779975e-05, 'epoch': 1.94}
{'eval_loss': 8.682347297668457, 'eval_runtime': 2447.9513, 'eval_samples_per_second': 0.95, 'eval_steps_per_second': 0.95, 'epoch': 2.0}
{'loss': 8.639, 'grad_norm': 13.850604057312012, 'learning_rate': 3.807743176151615e-05, 'epoch': 2.04}
{'loss': 8.6782, 'grad_norm': 10.113139152526855, 'learning_rate': 3.669204221225233e-05, 'epoch': 2.15}
{'loss': 8.6701, 'grad_norm': 22.248214721679688, 'learning_rate': 3.530665266298851e-05, 'epoch': 2.26}
{'loss': 8.7432, 'grad_norm': 11.213421821594238, 'learning_rate': 3.3921263113724685e-05, 'epoch': 2.37}
{'loss': 8.5338, 'grad_norm': 24.423124313354492, 'learning_rate': 3.2535873564460866e-05, 'epoch': 2.47}
{'loss': 8.544, 'grad_norm': 16.526145935058594, 'learning_rate': 3.115048401519704e-05, 'epoch': 2.58}
{'loss': 8.6367, 'grad_norm': 12.483989715576172, 'learning_rate': 2.9766479855482483e-05, 'epoch': 2.69}
{'loss': 8.533, 'grad_norm': 16.432575225830078, 'learning_rate': 2.8381090306218664e-05, 'epoch': 2.8}
{'loss': 8.6033, 'grad_norm': 10.42906665802002, 'learning_rate': 2.699570075695484e-05, 'epoch': 2.91}
